,url,key,image_phash,original_caption,tag,attribute,short_caption,detailed_caption,llm_caption
0,https://www.equipmentsalesandsurplus.com/v/vspfiles/photos/1610086K-2T.jpg,9113,e5989a6799687992,"Powermatic 60HH, 8"" Jointer with Helical Cutterhead (2HP, 1Ph., 230V",['Jointer' 'Wood shaper' 'Thickness planer'],['repair which is a workbench or other surface to work on'],['a table sawing machine on a white background'],"['a planer that is sitting on a table'
 'a plane planer with a table top cutter'
 'a planer that is used to create the seat']","['A table sawing machine on an all-white background'
 'A table saw is seen on a white backdrop.'
 'A table saw, one tool among several others utilized in woodwork, slices through thick pieces of wood on a pristine white backdrop.']"
1,https://texasfurniturehut.com/images/thumbs/0006596_elijah-leather-power-recliner_400.jpeg,7371,be179168cce0cc97,Picture of ELIJAH LEATHER POWER RECLINER,['recliner' 'Power seat' 'Club chair'],"['recliner which has upholstered in fabric or leather'
 'recliner which is armrests'
 'recliner which has chair with a reclining back']",['a brown leather recliner chair on a white background'],"['a brown recliner sitting in front of a white background'
 ""the recliner's power chair is designed in a leather and with the headrest""
 'a brown recliner chair with arms out on a white background']","['A Brown Leather Recliner Chair On A White Background'
 'A brown leather recliner chair on a clean white background'
 'A brown leather recliner chair resting on a white backdrop.']"
2,https://cdn.shopify.com/s/files/1/1909/0703/products/28025v_1024x1024.jpg?v=1521740196,1662,c04b03b43f1f3a67,"8 x 10 Reprinted Old Photo of U.S. Mail, Tanana, Alaska, mail teams leave for the interior 1925 National Photo Co 60a",['Dog sled' 'Sled dog' 'Sled dog racing'],"['dog sled which has snow or ice'
 'dog sled which has dog team harnessed to the sled'
 'dog sled which has sled with runners']",['a black and white photo of a dog team pulling a sled'],"['a man riding a dog sled past a post office'
 'vintage photograph of a dog drawn sled pulling a team of people in front of building'
 'vintage picture showing an alaska post office']","['A black and white photo of a dog team pulling a traditional wooden dog sled through the snowy landscape, passing by a small Alaskan post office.'
 'A black and white photo depicting a dog team hauling a sled down a winter road, passing next to a quaint post office.'
 'A historic black and white picture of a person driving a canine-pulled sled through a winter wonderland while passing a post workplace']"
3,https://kelliesdesigns.net/wp-content/uploads/2019/06/500-13a-264x300.jpg,3390,f9e3c64e0cd8b036,Police Officer In His Hands Snap Tab,['Police officer' 'Police commissioner' 'Handcuffs'],"['policeman which has badge' 'cop which has badge on the chest'
 'clip which has two flat faces on either side of the arms']",['a pair of key chains with a police officer on them'],"[""two key keychains with police officer's uniform on them""
 'two felt key chains with a police hat'
 'two police hats on two keychains']","[""A pair of handmade key chains with a police officer emblem adorned on them dangles from someone's hands.""
 ""A set of two keychain fobs, each featuring a different design. One features a police officer's badge, while the other depicts a pair of handcuffs.""
 'A set of two matching keychain fobs featuring a police officer in different poses and designs, each suspended by a durable metal clip or chain']"
4,https://cdn.houseplansservices.com/product/9ea673f7d2d5a70f4a34a306dbdada59947096a3c5aef579733e8af160f9d8f8/w300x200.jpg?v=5,3666,84cfbfb0c8cab20e,House Design - Colonial Exterior - Front Elevation Plan #1010-113,"['farmhouse' 'manufactured home'
 'North american fraternity and sorority housing']","['house which has exterior walls with siding, brick, or stone'
 'farmhouse which has single-story structure'
 'home which has windows and doors']",['this is a computer rendering of a house'],"['a two story brick house with a garage and porch'
 'this is a computer rendering of a traditional house'
 'a two story house with three shutters and three doors']","['This is a computer rendered image of a house.'
 'This is a computer renderling of a house'
 'This is a computer rendering of a house.']"
5,"https://static.wixstatic.com/media/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg",248,bcc9b7ecab833820,On the edge? It's not what you think.,['canyon' 'Geology' 'Southwestern united states food'],"['canyon which has rocky walls with large ridges and cliffs'
 'canyon which has exposed rock layers'
 'canyon which has deep, steep-sided valleys']",['a view of the grand canyon from the top of a cliff'],"['a view of the grand canyon from the edge'
 'a big canyon with many tall cliffs on it'
 'a mountain on top is seen above a canyon']","['A stunning panoramic view of the Grand Canyon from the top of a rugged cliff, highlighting its towering red rock formations and vast expanse below'
 'A stunning view of the Grand Canyon, with its towering cliffs and deep valleys stretching as far as the eye can see.'
 'The Grand Canyon provides breathtaking views as visitors gaze into its vast depths while hiking along its rugged trails or taking a leisurely drive through its scenic vistas.']"
6,https://www.teslarati.com/wp-content/uploads/2020/02/Pad-39A-F9-FH-mobile-service-tower-renders-SpaceX-1.png,9787,e393cd32cc61986d,Pad 39A F9 FH mobile service tower renders (SpaceX) 1,['Lockheed martin x 33' 'tower' 'spaceshuttle'],"['missile which has two or more fins near the base'
 'space shuttle which has rocket-like shape'
 'rocket which has large engines at the base']",['a drawing of a tall tower with a clock on top of it'],"['a tall gray tower with an inverted design'
 'a tower is shown on a white background'
 'a picture of a tower with some different sizes']","['A towering missile stands in contrast to the sleek space shuttle, both made byLockheed Martin.'
 'A tall white spaceshuttle with rocket-like features stands alongside a massive missile with multiple fins near its base.'
 'A towering structure with multiple fins stands out against a clear blue sky as it soars into outer space.']"
7,https://mixandmatchmama.com/wp-content/uploads/2014/07/Mexican-Paninis.jpg,8802,fae24b997052a764,", Meal Planning Monday #47",['Patty melt' 'Cheesesteak' 'grilled cheese sandwich'],"['quesadilla which has fillings such as seasoned meats, vegetables, beans, or cheese'
 'grilled cheese sandwich which has two slices of bread'
 'sandwich which has two pieces of bread']",['a close up of a sandwich on a plate'],"['a sandwich that is cut in half with some chili'
 'a sandwich with a bite out of it and two sauce on the bowl'
 'a close up of a sandwich on a plate']","['A sandwich with fillings visible through a toasty brown crust.'
 'Grilled cheesy delight.'
 'A juicy quesadilla filled with savory spiced beef, crisp vegetables, creamy cheese, and tangy sauces sizzles on a stovetop until golden brown perfection.']"
8,https://m.media-amazon.com/images/I/410sWyj2EcL._SL500_.jpg,8116,c5523b8cd2b16ccb,Jude the Obscure (Wordsworth Collection,"['National trust for places of historic interest or natural beauty'
 'Maundy thursday' 'Book cover']","['textbook which has cover with a title and author name'
 'book which has cover or artwork'
 'dust jacket which has printed artwork and text on the front']",['the cover of jude the obscure by thomas hardy'],"['the book jude the obscure by thomas hardy'
 ""the cover of'jude the obscure'by thomas hardy""
 ""a picture of a bridge with words of james hardy, who's a subject in a""]","['The cover of Jude the Obscure by Thomas Hardy depicts a serene landscape with trees and a winding path, capturing the essence of hope and possibility as the reader embarks on this literary journey.'
 'The beautiful cover of Jude the Obscure by Thomas Hardy depicts a serene landscape complete with trees and a winding path.'
 ""A picturesque book cover featuring Thomas Hardy's 'Jude the Obscure'.""]"
9,https://www.hellawella.com/wp-content/uploads/2020/05/Eats_ShreddedWheat_NabiscoAd2-425x339-1.jpg,7213,d9313e31a18e91cf,Nabisco Shredded Wheat promo from 1930 (via Flickr/alsis35,['Dinkel wheat' 'Wheatberry' 'Vintage advertisement'],"['loaf which is a long, cylindrical shape'
 'cereal which has name of the cereal on the box'
 'cereal which has brightly-colored box with a picture']",['an advertisement for shredded wheat with a picture of a man'],"['a box of shreded wheat next to a poster of a chef sitting on a table'
 'a advertising for shredded wheat is pictured in this advertisement'
 'a poster advertising shredded wheat and an instruction for making it']","['An Advertisement For Shredded Wheat With A Picture Of'
 'A person holds up a loaf of shredded wheat as shown in vintage adverts.'
 'An advertisement for shredded wheat featuring a man.']"
